,time1,Spread,Mid-price,volume_buy1,price_buy1,price_sell1,volume_sell1,time2,volume_buy2,price_buy2,price_sell2,volume_sell2,time3,volume_buy3,price_buy3,price_sell3,volume_sell3,time4,volume_buy4,price_buy4,price_sell4,volume_sell4,time5,volume_buy5,price_buy5,price_sell5,volume_sell5
0,1397/7/22 6:01:25,3200,61800,250,60200,63400,500,6:01:25,7000,59500,63494,20,6:01:25,1200,59500,63500,1000,6:01:25,337,59177,64000,127,6:01:25,850,59068,64500,1648
1,1397/7/22 8:30:07,1860,62470,100,61540,63400,500,8:30:07,250,60200,63494,20,8:30:07,7000,60200,63500,1000,8:30:07,1200,59178,64000,127,8:30:07,337,59177,64500,1648
2,1397/7/22 8:30:10,0,58461,9757,58461,58461,11000,8:30:10,52,58225,63400,500,8:30:10,21,58225,63494,20,8:30:10,5,55220,63500,1000,8:30:10,36,54847,64000,127
3,1397/7/22 8:30:13,0,58461,9757,58461,58461,11523,8:30:10,52,58225,63400,500,8:30:10,21,58225,63494,20,8:30:10,5,55220,63500,1000,8:30:10,36,54847,64000,127
4,1397/7/22 8:30:21,0,58461,15757,58461,58461,11523,8:30:10,52,58225,63400,500,8:30:10,21,58225,63494,20,8:30:10,5,55220,63500,1000,8:30:10,36,54847,64000,127
5,1397/7/22 8:30:24,0,59068,11737,59068,59068,11523,8:30:24,20,58944,63400,500,8:30:24,6000,58944,63494,20,8:30:24,52,58225,63500,1000,8:30:24,21,56565,64000,127
6,1397/7/22 8:30:24,0,59068,11737,59068,59068,11523,8:30:24,20,58944,63400,500,8:30:26,1021,58944,63494,20,8:30:26,6000,58461,63500,1000,8:30:26,52,58225,64000,127
7,1397/7/22 8:30:24,0,59068,11737,59068,59068,11523,8:30:40,20,58944,63400,2500,8:30:26,1021,58944,63494,20,8:30:26,6000,58461,63500,1000,8:30:26,52,58225,64000,127
8,1397/7/22 8:30:24,0,59068,11737,59068,59068,11523,8:30:40,20,58944,63400,2500,8:30:26,1021,58944,63494,20,8:31:01,42,58462,63500,1000,8:31:01,6000,58461,64000,127
9,1397/7/22 8:31:04,0,59068,11737,59068,59068,11541,8:30:40,20,58944,63400,2500,8:30:26,1021,58944,63494,20,8:31:01,42,58462,63500,1000,8:31:01,6000,58461,64000,127
