<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<VAL>,<COUNT>,<PREVIOUS>,<COL1>,<COL2>,<TSEClose>,<MarketValue>,<ShareCount>
ZAGROS,d,20130310,000000,18980,19380,18750,19000,442829,8476076835,242,18710,زاگرس,13911220,000000,19141,45600000000000,2400000000
ZAGROS,d,20130311,000000,19000,19550,18853,18853,193029,3704820276,176,19141,زاگرس,13911221,000000,19193,45247200000000,2400000000
ZAGROS,d,20130312,000000,18861,20152,18861,20152,1119238,22281235884,514,19193,زاگرس,13911222,000000,19908,48364800000000,2400000000
ZAGROS,d,20130313,000000,20400,20903,20302,20860,3473005,72480633979,715,19908,زاگرس,13911223,000000,20870,50064000000000,2400000000
ZAGROS,d,20130316,000000,20500,21190,19827,20000,1578459,32354997329,661,20870,زاگرس,13911226,000000,20498,48000000000000,2400000000
ZAGROS,d,20130317,000000,19835,20990,19835,20490,488434,9954027517,258,20498,زاگرس,13911227,000000,20379,49176000000000,2400000000
ZAGROS,d,20130318,000000,20588,21397,20500,21397,1886279,40011889043,434,20379,زاگرس,13911228,000000,21212,51352800000000,2400000000
ZAGROS,d,20130325,000000,22272,22272,22272,22272,4396187,97911876864,289,21212,زاگرس,13920105,000000,22272,53452800000000,2400000000
ZAGROS,d,20130326,000000,23385,23385,22433,22600,2076132,47624973346,825,22272,زاگرس,13920106,000000,22939,54240000000000,2400000000
ZAGROS,d,20130327,000000,22100,22250,21793,21800,1582607,34713241374,913,22939,زاگرس,13920107,000000,21934,52320000000000,2400000000
ZAGROS,d,20130330,000000,21860,21860,20900,21570,859306,18181506676,565,21934,زاگرس,13920110,000000,21158,51768000000000,2400000000
ZAGROS,d,20130331,000000,21800,21990,21220,21799,1310300,28561931288,499,21158,زاگرس,13920111,000000,21798,52317600000000,2400000000
ZAGROS,d,20130403,000000,22179,22179,21702,21973,632487,13917413544,394,21798,زاگرس,13920114,000000,22004,52735200000000,2400000000
ZAGROS,d,20130406,000000,22000,22000,21006,21299,795858,16896408567,478,22004,زاگرس,13920117,000000,21230,51117600000000,2400000000
ZAGROS,d,20130407,000000,21560,21947,21230,21600,1791115,38667784421,580,21230,زاگرس,13920118,000000,21589,51840000000000,2400000000
ZAGROS,d,20130408,000000,22012,22668,22012,22668,1106902,24855802258,430,21589,زاگرس,13920119,000000,22455,54403200000000,2400000000
ZAGROS,d,20130409,000000,23577,23577,23577,23577,397840,9379873680,77,22455,زاگرس,13920120,000000,23577,56584800000000,2400000000
ZAGROS,d,20130410,000000,24300,24300,24000,24000,715374,17382220800,71,23577,زاگرس,13920121,000000,24298,57600000000000,2400000000
ZAGROS,d,20130603,000000,21000,21000,20200,20600,3057664,63455188486,756,24298,زاگرس,13920313,000000,20753,49440000000000,2400000000
ZAGROS,d,20130608,000000,20650,21000,20000,20000,1595899,32490653833,733,20753,زاگرس,13920318,000000,20359,48000000000000,2400000000
ZAGROS,d,20130609,000000,20002,20170,19420,19450,1371389,26830381579,707,20359,زاگرس,13920319,000000,19564,46680000000000,2400000000
ZAGROS,d,20130610,000000,19850,20542,19600,20542,2581799,52559566878,865,19564,زاگرس,13920320,000000,20358,49300800000000,2400000000
ZAGROS,d,20130615,000000,20200,20900,20150,20300,5125596,105080990219,1208,16258,زاگرس,13920325,000000,20501,48720000000000,2400000000
ZAGROS,d,20130616,000000,21480,21480,19500,19600,2705763,55273598003,940,20501,زاگرس,13920326,000000,20428,47040000000000,2400000000
ZAGROS,d,20130617,000000,19700,20100,19410,19421,2038963,40048087809,746,20428,زاگرس,13920327,000000,19641,46610400000000,2400000000
ZAGROS,d,20130618,000000,20000,20623,20000,20623,1865543,38138821334,567,19641,زاگرس,13920328,000000,20444,49495200000000,2400000000
ZAGROS,d,20130619,000000,21000,21280,20625,21150,1654890,34714416567,559,20444,زاگرس,13920329,000000,20977,50760000000000,2400000000
ZAGROS,d,20130622,000000,21001,21300,20001,20061,1527303,31465780110,451,20977,زاگرس,13920401,000000,20602,48146400000000,2400000000
ZAGROS,d,20130623,000000,20100,20600,19902,19980,866599,17435610154,530,20602,زاگرس,13920402,000000,20120,47952000000000,2400000000
ZAGROS,d,20130625,000000,20000,20035,19800,20000,354823,7072755311,272,20120,زاگرس,13920404,000000,19933,48000000000000,2400000000
ZAGROS,d,20130626,000000,20200,20922,20200,20700,803582,16700971335,441,19933,زاگرس,13920405,000000,20783,49680000000000,2400000000
ZAGROS,d,20130629,000000,21299,21822,20920,21822,819329,17772986822,290,20783,زاگرس,13920408,000000,21692,52372800000000,2400000000
ZAGROS,d,20130630,000000,22599,22599,21002,21600,1450444,31802276137,581,21692,زاگرس,13920409,000000,21926,51840000000000,2400000000
ZAGROS,d,20130701,000000,22000,22800,21601,22160,563977,12622876171,458,21926,زاگرس,13920410,000000,22382,53184000000000,2400000000
ZAGROS,d,20130702,000000,21998,21998,21263,21650,714300,15358366384,429,22382,زاگرس,13920411,000000,21501,51960000000000,2400000000
ZAGROS,d,20130703,000000,22100,22576,21603,22576,1065587,23903312757,417,21501,زاگرس,13920412,000000,22432,54182400000000,2400000000
ZAGROS,d,20130706,000000,23551,23553,23200,23553,252299,5933982665,101,22432,زاگرس,13920415,000000,23520,56527200000000,2400000000
ZAGROS,d,20130707,000000,24696,24696,23610,24400,3786104,93174916870,800,23520,زاگرس,13920416,000000,24610,58560000000000,2400000000
ZAGROS,d,20130708,000000,24010,25840,23600,25000,1983071,48759434999,639,24610,زاگرس,13920417,000000,24588,60000000000000,2400000000
ZAGROS,d,20130709,000000,25500,25500,24701,25450,994757,24955803091,460,24588,زاگرس,13920418,000000,25087,61080000000000,2400000000
ZAGROS,d,20130710,000000,25452,26341,25400,25503,1031826,26862234462,462,25087,زاگرس,13920419,000000,26034,61207200000000,2400000000
ZAGROS,d,20130713,000000,25600,25600,24733,24733,558716,13840213090,365,26034,زاگرس,13920422,000000,24771,59359200000000,2400000000
ZAGROS,d,20130714,000000,24900,25770,24300,25559,756333,19050431474,339,24771,زاگرس,13920423,000000,25188,61341600000000,2400000000
ZAGROS,d,20130715,000000,25890,26399,24570,24570,534997,13649430215,389,25188,زاگرس,13920424,000000,25513,58968000000000,2400000000
ZAGROS,d,20130716,000000,25608,25710,24575,24870,407548,10174960553,239,25513,زاگرس,13920425,000000,24966,59688000000000,2400000000
ZAGROS,d,20130717,000000,25240,26214,24601,26214,1187678,30765443963,500,24966,زاگرس,13920426,000000,25904,62913600000000,2400000000
ZAGROS,d,20130720,000000,26300,27199,26300,27000,1155883,31401572525,245,25904,زاگرس,13920429,000000,27167,64800000000000,2400000000
ZAGROS,d,20130721,000000,27989,27989,25809,26799,1288094,34146738613,780,27167,زاگرس,13920430,000000,26510,64317600000000,2400000000
ZAGROS,d,20130722,000000,26990,27280,26200,26432,392512,10621376493,235,26510,زاگرس,13920431,000000,27060,63436800000000,2400000000
ZAGROS,d,20130728,000000,27149,28200,27139,28003,695183,19459521241,301,27060,زاگرس,13920506,000000,27735,67207200000000,2400000000
ZAGROS,d,20130729,000000,28002,28500,26900,26970,967096,26504968973,737,27735,زاگرس,13920507,000000,27407,64728000000000,2400000000
ZAGROS,d,20130731,000000,27500,27500,26812,27001,777284,21097817674,447,27407,زاگرس,13920509,000000,27143,64802400000000,2400000000
ZAGROS,d,20130803,000000,27280,27280,25786,25851,930141,24159365990,649,27143,زاگرس,13920512,000000,25974,62042400000000,2400000000
ZAGROS,d,20130804,000000,25500,25700,24676,24676,1326735,33126588525,484,25974,زاگرس,13920513,000000,24969,59222400000000,2400000000
ZAGROS,d,20130805,000000,24105,26215,24105,24790,1109868,27904933993,732,24969,زاگرس,13920514,000000,25143,59496000000000,2400000000
ZAGROS,d,20130806,000000,24300,24896,24212,24649,491886,12051817951,379,25143,زاگرس,13920515,000000,24501,59157600000000,2400000000
ZAGROS,d,20130807,000000,24999,25025,24422,24550,349705,8622692002,268,24501,زاگرس,13920516,000000,24657,58920000000000,2400000000
ZAGROS,d,20130811,000000,24850,24950,24350,24680,433130,10632815199,260,24657,زاگرس,13920520,000000,24549,59232000000000,2400000000
ZAGROS,d,20130812,000000,24566,25139,24200,24400,461207,11427592890,300,24549,زاگرس,13920521,000000,24778,58560000000000,2400000000
ZAGROS,d,20130813,000000,24998,24998,24200,24260,222503,5423137388,271,24778,زاگرس,13920522,000000,24373,58224000000000,2400000000
ZAGROS,d,20130814,000000,24340,25000,24001,24400,169039,4145195008,199,24373,زاگرس,13920523,000000,24522,58560000000000,2400000000
ZAGROS,d,20130817,000000,25700,25748,25111,25111,897891,23031979715,327,24522,زاگرس,13920526,000000,25651,60266400000000,2400000000
ZAGROS,d,20130818,000000,25999,25999,25011,25300,434699,11048921211,186,25651,زاگرس,13920527,000000,25417,60720000000000,2400000000
ZAGROS,d,20130819,000000,25111,25200,25003,25051,331719,8309301658,173,25417,زاگرس,13920528,000000,25049,60122400000000,2400000000
ZAGROS,d,20130820,000000,25051,25500,23900,23900,355406,8701422222,247,25049,زاگرس,13920529,000000,24483,57360000000000,2400000000
ZAGROS,d,20130821,000000,23900,24000,23500,24000,336195,8002678923,255,24483,زاگرس,13920530,000000,23804,57600000000000,2400000000
ZAGROS,d,20130824,000000,24899,24899,23867,23961,161666,3890810469,166,23804,زاگرس,13920602,000000,24067,57506400000000,2400000000
ZAGROS,d,20130825,000000,24220,24220,23200,23570,316347,7491487778,318,24067,زاگرس,13920603,000000,23681,56568000000000,2400000000
ZAGROS,d,20130826,000000,23500,24800,23251,24350,331227,7936102010,238,23681,زاگرس,13920604,000000,23960,58440000000000,2400000000
ZAGROS,d,20130827,000000,24400,24400,22770,22786,287696,6696567158,249,23960,زاگرس,13920605,000000,23277,54686400000000,2400000000
ZAGROS,d,20130828,000000,22140,22849,22125,22400,574054,12757020574,341,23277,زاگرس,13920606,000000,22223,53760000000000,2400000000
ZAGROS,d,20130831,000000,22600,23199,22600,22801,136628,3132615756,200,22223,زاگرس,13920609,000000,22928,54722400000000,2400000000
ZAGROS,d,20130901,000000,24074,24074,24000,24074,172160,4143911638,99,22928,زاگرس,13920610,000000,24070,57777600000000,2400000000
ZAGROS,d,20130903,000000,25200,25200,24260,24300,698158,17242840820,386,24070,زاگرس,13920612,000000,24698,58320000000000,2400000000
ZAGROS,d,20130904,000000,23464,23505,23464,23464,117578,2759575479,102,24698,زاگرس,13920613,000000,23470,56313600000000,2400000000
ZAGROS,d,20130907,000000,22400,22950,22297,22600,703569,15837967138,364,23470,زاگرس,13920616,000000,22511,54240000000000,2400000000
ZAGROS,d,20130908,000000,23000,23499,23000,23497,287195,6670366161,239,22511,زاگرس,13920617,000000,23226,56392800000000,2400000000
ZAGROS,d,20130909,000000,23810,23999,23550,23680,217652,5186491822,239,23226,زاگرس,13920618,000000,23829,56832000000000,2400000000
ZAGROS,d,20130910,000000,24980,25020,24202,25020,541560,13519678660,194,23829,زاگرس,13920619,000000,24964,60048000000000,2400000000
ZAGROS,d,20130911,000000,26212,26212,25563,25900,2891731,75497946163,727,24964,زاگرس,13920620,000000,26108,62160000000000,2400000000
ZAGROS,d,20130914,000000,26199,26199,25020,26060,426987,10923530369,324,26108,زاگرس,13920623,000000,25583,62544000000000,2400000000
ZAGROS,d,20130915,000000,25700,26000,25220,25300,418962,10811885085,228,25583,زاگرس,13920624,000000,25806,60720000000000,2400000000
ZAGROS,d,20130916,000000,25300,25900,25056,25381,220652,5643305295,154,25806,زاگرس,13920625,000000,25576,60914400000000,2400000000
ZAGROS,d,20130917,000000,25800,26200,25501,25990,740050,19057842837,327,25576,زاگرس,13920626,000000,25752,62376000000000,2400000000
ZAGROS,d,20130918,000000,26000,26180,25350,25990,525347,13559954021,312,25752,زاگرس,13920627,000000,25811,62376000000000,2400000000
ZAGROS,d,20130921,000000,26299,26299,25521,25561,387981,10070423755,313,25811,زاگرس,13920630,000000,25956,61346400000000,2400000000
ZAGROS,d,20130922,000000,24659,24840,24659,24659,693344,17097959391,285,25956,زاگرس,13920631,000000,24660,59181600000000,2400000000
ZAGROS,d,20130923,000000,25489,25489,24612,25000,310330,7771283739,226,24660,زاگرس,13920701,000000,25042,60000000000000,2400000000
ZAGROS,d,20130924,000000,25199,25199,24516,24710,298309,7370688434,205,25042,زاگرس,13920702,000000,24708,59304000000000,2400000000
ZAGROS,d,20130925,000000,24656,25689,24656,25401,436841,11005277098,192,24708,زاگرس,13920703,000000,25193,60962400000000,2400000000
ZAGROS,d,20130928,000000,26390,26452,25750,26452,1478279,38645900091,614,25193,زاگرس,13920706,000000,26142,63484800000000,2400000000
ZAGROS,d,20130929,000000,27190,27434,26500,26670,3349613,90687191032,1170,26142,زاگرس,13920707,000000,27074,64008000000000,2400000000
ZAGROS,d,20130930,000000,27001,27400,26851,27190,1259306,34121998094,561,27074,زاگرس,13920708,000000,27096,65256000000000,2400000000
ZAGROS,d,20131001,000000,27090,27096,26500,26557,1533063,41256575575,361,27096,زاگرس,13920709,000000,26911,63736800000000,2400000000
ZAGROS,d,20131002,000000,26250,27001,26250,26530,797658,21193695483,220,26911,زاگرس,13920710,000000,26570,63672000000000,2400000000
ZAGROS,d,20131005,000000,25702,26754,25702,26500,700315,18326304920,330,26570,زاگرس,13920713,000000,26169,63600000000000,2400000000
ZAGROS,d,20131006,000000,26489,26580,26110,26400,317478,8375931850,217,26169,زاگرس,13920714,000000,26383,63360000000000,2400000000
ZAGROS,d,20131007,000000,26687,26688,26310,26500,527870,13988471897,253,26383,زاگرس,13920715,000000,26500,63600000000000,2400000000
ZAGROS,d,20131008,000000,26651,27800,26600,27787,1399191,38443925544,531,26500,زاگرس,13920716,000000,27476,66688800000000,2400000000
ZAGROS,d,20131009,000000,28000,28849,28000,28849,1235107,35434768707,377,27476,زاگرس,13920717,000000,28690,69237600000000,2400000000
ZAGROS,d,20131012,000000,30000,30124,29000,29999,2009466,60035882969,781,28690,زاگرس,13920720,000000,29877,71997600000000,2400000000
ZAGROS,d,20131013,000000,29450,29450,28385,28458,1140266,32790341422,872,29877,زاگرس,13920721,000000,28757,68299200000000,2400000000
ZAGROS,d,20131014,000000,28500,28500,27402,27990,713061,19901313429,373,28757,زاگرس,13920722,000000,27910,67176000000000,2400000000
ZAGROS,d,20131015,000000,27900,29195,27517,28799,980008,28133476029,461,27910,زاگرس,13920723,000000,28707,69117600000000,2400000000
ZAGROS,d,20131019,000000,29500,29984,28700,28800,869042,25803153118,523,28707,زاگرس,13920727,000000,29691,69120000000000,2400000000
ZAGROS,d,20131020,000000,28900,28900,28207,28207,439681,12471736924,350,29691,زاگرس,13920728,000000,28365,67696800000000,2400000000
ZAGROS,d,20131021,000000,28000,29300,28000,29221,545161,15822706973,332,28365,زاگرس,13920729,000000,29024,70130400000000,2400000000
ZAGROS,d,20131022,000000,27574,28000,27574,27700,1692978,46828589806,455,29024,زاگرس,13920730,000000,27660,66480000000000,2400000000
ZAGROS,d,20131023,000000,27575,27849,27000,27650,867305,23936803536,233,27660,زاگرس,13920801,000000,27599,66360000000000,2400000000
ZAGROS,d,20131026,000000,27265,27651,27000,27000,429138,11710228292,196,27599,زاگرس,13920804,000000,27288,64800000000000,2400000000
ZAGROS,d,20131027,000000,27000,27000,26280,26470,355374,9403289156,174,27288,زاگرس,13920805,000000,26460,63528000000000,2400000000
ZAGROS,d,20131028,000000,26400,27200,26280,27170,281313,7530182764,141,26460,زاگرس,13920806,000000,26768,65208000000000,2400000000
ZAGROS,d,20131029,000000,27001,28106,27001,27799,702567,19649153135,201,26768,زاگرس,13920807,000000,27968,66717600000000,2400000000
ZAGROS,d,20131030,000000,28900,29366,28869,29249,2018348,59073304234,507,27968,زاگرس,13920808,000000,29268,70197600000000,2400000000
ZAGROS,d,20131102,000000,29313,30200,29313,29600,1223168,36632643093,413,29268,زاگرس,13920811,000000,29949,71040000000000,2400000000
ZAGROS,d,20131103,000000,29610,29610,28801,29450,260175,7577760022,147,29949,زاگرس,13920812,000000,29126,70680000000000,2400000000
ZAGROS,d,20131104,000000,29500,30005,28475,29201,553106,16391090357,209,29126,زاگرس,13920813,000000,29635,70082400000000,2400000000
ZAGROS,d,20131105,000000,29000,30020,29000,30000,334534,9945508564,165,29635,زاگرس,13920814,000000,29729,72000000000000,2400000000
ZAGROS,d,20131106,000000,30000,30499,29001,30030,578699,17348340704,200,29729,زاگرس,13920815,000000,29978,72072000000000,2400000000
ZAGROS,d,20131109,000000,31460,31460,30005,30800,594206,18551421913,253,29978,زاگرس,13920818,000000,31221,73920000000000,2400000000
ZAGROS,d,20131110,000000,31099,31099,29660,30000,301299,9006308625,154,31221,زاگرس,13920819,000000,29892,72000000000000,2400000000
ZAGROS,d,20131111,000000,28505,29800,28505,29001,287145,8283184410,151,29892,زاگرس,13920820,000000,28847,69602400000000,2400000000
ZAGROS,d,20131112,000000,29699,30000,28603,29332,80681,2392664274,112,28847,زاگرس,13920821,000000,29656,70396800000000,2400000000
ZAGROS,d,20131116,000000,30988,30988,29054,29170,50969,1503643192,83,29656,زاگرس,13920825,000000,29501,70008000000000,2400000000
ZAGROS,d,20131117,000000,29010,29500,28800,28800,109270,3173158384,135,29501,زاگرس,13920826,000000,29040,69120000000000,2400000000
ZAGROS,d,20131118,000000,28800,29800,28750,29500,153324,4498928731,104,29040,زاگرس,13920827,000000,29343,70800000000000,2400000000
ZAGROS,d,20131119,000000,29020,30750,29020,30000,925905,28099768942,167,29343,زاگرس,13920828,000000,30348,72000000000000,2400000000
ZAGROS,d,20131120,000000,30976,30976,29800,29830,334944,10063116373,128,30348,زاگرس,13920829,000000,30044,71592000000000,2400000000
ZAGROS,d,20131123,000000,30460,31200,30000,31032,1178339,36153208398,215,30044,زاگرس,13920902,000000,30681,74476800000000,2400000000
ZAGROS,d,20131124,000000,32215,32215,32215,32215,7475172,240812665980,797,30681,زاگرس,13920903,000000,32215,77316000000000,2400000000
ZAGROS,d,20131125,000000,33825,33825,33000,33825,8889669,300685424033,912,32215,زاگرس,13920904,000000,33824,81180000000000,2400000000
ZAGROS,d,20131126,000000,34850,34850,33001,34130,1729572,58720626837,626,33824,زاگرس,13920905,000000,33951,81912000000000,2400000000
ZAGROS,d,20131127,000000,34197,35640,34001,34250,2687628,92834525158,639,33951,زاگرس,13920906,000000,34541,82200000000000,2400000000
ZAGROS,d,20131130,000000,35179,35179,34050,34370,737895,25357897750,427,34541,زاگرس,13920909,000000,34365,82488000000000,2400000000
ZAGROS,d,20131201,000000,34010,34325,33800,33850,1049891,35705163070,351,34365,زاگرس,13920910,000000,34008,81240000000000,2400000000
ZAGROS,d,20131202,000000,32503,34000,32503,33700,583984,19761655562,219,34008,زاگرس,13920911,000000,33839,80880000000000,2400000000
ZAGROS,d,20131203,000000,33999,34350,33000,33298,1214748,40986718438,249,33839,زاگرس,13920912,000000,33741,79915200000000,2400000000
ZAGROS,d,20131204,000000,34000,34399,33301,33600,297616,10093839292,134,33741,زاگرس,13920913,000000,33916,80640000000000,2400000000
ZAGROS,d,20131207,000000,33002,33870,32542,33000,670948,22179052149,287,33916,زاگرس,13920916,000000,33056,79200000000000,2400000000
ZAGROS,d,20131208,000000,32601,34274,32590,34000,2907097,98445897160,545,33056,زاگرس,13920917,000000,33864,81600000000000,2400000000
ZAGROS,d,20131209,000000,34449,34449,33500,33500,399060,13565918837,272,33864,زاگرس,13920918,000000,33995,80400000000000,2400000000
ZAGROS,d,20131210,000000,34200,34200,33413,33990,499665,16909222606,224,33995,زاگرس,13920919,000000,33841,81576000000000,2400000000
ZAGROS,d,20131211,000000,33800,34590,32149,33399,1079457,36795087203,317,33841,زاگرس,13920920,000000,34087,80157600000000,2400000000
ZAGROS,d,20131214,000000,33150,33400,32500,33301,382275,12653433267,165,34087,زاگرس,13920923,000000,33100,79922400000000,2400000000
ZAGROS,d,20131215,000000,33970,34500,33000,33500,2485179,83641288409,327,33100,زاگرس,13920924,000000,33656,80400000000000,2400000000
ZAGROS,d,20131216,000000,34500,34500,33500,33600,182145,6152777428,141,33656,زاگرس,13920925,000000,33780,80640000000000,2400000000
ZAGROS,d,20131217,000000,33590,33590,33110,33122,137091,4573973523,126,33780,زاگرس,13920926,000000,33365,79492800000000,2400000000
ZAGROS,d,20131218,000000,33001,33001,31697,31697,1589375,51421518623,492,33365,زاگرس,13920927,000000,32353,76072800000000,2400000000
ZAGROS,d,20131221,000000,30736,31000,30736,30736,1565499,48120348478,459,32353,زاگرس,13920930,000000,30738,73766400000000,2400000000
ZAGROS,d,20131222,000000,29661,31499,29661,31200,553612,17207880227,206,30738,زاگرس,13921001,000000,31083,74880000000000,2400000000
ZAGROS,d,20131224,000000,30250,31500,30010,30599,560163,17177845292,397,31083,زاگرس,13921003,000000,30666,73437600000000,2400000000
ZAGROS,d,20131225,000000,30600,30850,29133,29133,892308,26194450458,468,30666,زاگرس,13921004,000000,29356,69919200000000,2400000000
ZAGROS,d,20131228,000000,29185,29185,28012,28302,425297,12009289557,326,29356,زاگرس,13921007,000000,28237,67924800000000,2400000000
ZAGROS,d,20131229,000000,28390,29000,28301,28850,308299,8793089751,289,28237,زاگرس,13921008,000000,28521,69240000000000,2400000000
ZAGROS,d,20131230,000000,27200,28521,27095,27096,1508040,41412090865,478,28521,زاگرس,13921009,000000,27461,65030400000000,2400000000
ZAGROS,d,20140101,000000,27210,28834,27210,28834,447402,12866963651,297,27461,زاگرس,13921011,000000,28759,69201600000000,2400000000
ZAGROS,d,20140104,000000,28980,29250,27500,28650,359093,10305788733,230,28759,زاگرس,13921014,000000,28699,68760000000000,2400000000
ZAGROS,d,20140105,000000,29297,29297,28300,28690,280639,8037170205,180,28699,زاگرس,13921015,000000,28639,68856000000000,2400000000
ZAGROS,d,20140106,000000,28690,28690,27600,27811,249059,7013490552,181,28639,زاگرس,13921016,000000,28160,66746400000000,2400000000
ZAGROS,d,20140107,000000,27820,28100,27523,28100,437116,12180376598,181,28160,زاگرس,13921017,000000,27865,67440000000000,2400000000
ZAGROS,d,20140108,000000,28400,28400,27511,27700,90372,2515959330,146,27865,زاگرس,13921018,000000,27840,66480000000000,2400000000
ZAGROS,d,20140111,000000,28365,28365,27900,28104,127135,3572425288,109,27840,زاگرس,13921021,000000,28099,67449600000000,2400000000
ZAGROS,d,20140112,000000,28650,28650,26702,27390,148042,4004987138,120,28099,زاگرس,13921022,000000,27053,65736000000000,2400000000
ZAGROS,d,20140113,000000,28290,28405,27700,28405,138452,3907737330,110,27053,زاگرس,13921023,000000,28224,68172000000000,2400000000
ZAGROS,d,20140114,000000,29635,29635,28503,29635,1447816,42803912680,342,28224,زاگرس,13921024,000000,29564,71124000000000,2400000000
ZAGROS,d,20140115,000000,29900,30196,29200,30020,286641,8527120089,290,29564,زاگرس,13921025,000000,29748,72048000000000,2400000000
ZAGROS,d,20140118,000000,30600,30700,29801,30000,471949,14266415335,249,29748,زاگرس,13921028,000000,30229,72000000000000,2400000000
ZAGROS,d,20140120,000000,30000,30000,29120,29150,68856,2018480173,114,30229,زاگرس,13921030,000000,29315,69960000000000,2400000000
ZAGROS,d,20140121,000000,30780,30780,28600,29400,78184,2352033473,111,29315,زاگرس,13921101,000000,30083,70560000000000,2400000000
ZAGROS,d,20140122,000000,29500,30400,28579,30003,490413,14465142042,241,30083,زاگرس,13921102,000000,29496,72007200000000,2400000000
ZAGROS,d,20140125,000000,30001,30002,30000,30000,63300,1899013930,23,29496,زاگرس,13921105,000000,30000,72000000000000,2400000000
ZAGROS,d,20140126,000000,29000,29500,28500,28500,50543,1444472973,68,30000,زاگرس,13921106,000000,28579,68400000000000,2400000000
ZAGROS,d,20140127,000000,27525,27700,27450,27700,69678,1919468926,89,28579,زاگرس,13921107,000000,27548,66480000000000,2400000000
ZAGROS,d,20140128,000000,28571,28925,28555,28925,54257,1559797078,81,27548,زاگرس,13921108,000000,28748,69420000000000,2400000000
ZAGROS,d,20140129,000000,29870,29870,29000,29610,19337031,573538407632,451,28748,زاگرس,13921109,000000,29660,71064000000000,2400000000
ZAGROS,d,20140201,000000,29001,31000,28900,29960,862722,25882878534,196,29660,زاگرس,13921112,000000,30001,71904000000000,2400000000
ZAGROS,d,20140202,000000,30000,30000,28501,28501,41366,1182485630,108,30001,زاگرس,13921113,000000,28586,68402400000000,2400000000
ZAGROS,d,20140203,000000,28505,28600,28000,28450,39215,1114734967,45,28586,زاگرس,13921114,000000,28426,68280000000000,2400000000
ZAGROS,d,20140204,000000,28451,29000,28101,28500,17578,497730973,44,28426,زاگرس,13921115,000000,28316,68400000000000,2400000000
ZAGROS,d,20140205,000000,26901,26901,26901,26901,22394,602420994,27,28316,زاگرس,13921116,000000,26901,64562400000000,2400000000
ZAGROS,d,20140208,000000,25556,25556,25556,25556,5414,138360184,5,26901,زاگرس,13921119,000000,25556,61334400000000,2400000000
ZAGROS,d,20140304,000000,22600,24200,22600,24019,781362,18279551069,321,25556,زاگرس,13921213,000000,23797,57645600000000,2400000000
ZAGROS,d,20140305,000000,23998,25390,23350,24400,273088,6649864002,123,23797,زاگرس,13921214,000000,23954,58560000000000,2400000000
ZAGROS,d,20140308,000000,24995,24995,24000,24159,298182,7203690124,133,23954,زاگرس,13921217,000000,24159,57981600000000,2400000000
ZAGROS,d,20140309,000000,24800,24800,23760,23899,209286,5005531659,71,24159,زاگرس,13921218,000000,23917,57357600000000,2400000000
ZAGROS,d,20140310,000000,23250,24000,23250,23430,116717,2730598853,44,23917,زاگرس,13921219,000000,23395,56232000000000,2400000000
ZAGROS,d,20140311,000000,24000,24000,23215,23342,213343,4980185801,96,23395,زاگرس,13921220,000000,23344,56020800000000,2400000000
ZAGROS,d,20140312,000000,23300,24511,23205,23951,296519,7134581379,136,23344,زاگرس,13921221,000000,24061,57482400000000,2400000000
ZAGROS,d,20140315,000000,24573,25264,24572,25264,445544,11240586115,99,24061,زاگرس,13921224,000000,25229,60633600000000,2400000000
ZAGROS,d,20140316,000000,26195,26195,25270,25540,5323924,135778899819,210,25229,زاگرس,13921225,000000,25504,61296000000000,2400000000
ZAGROS,d,20140317,000000,26001,26779,26001,26779,136129,3628337537,119,25504,زاگرس,13921226,000000,26654,64269600000000,2400000000
ZAGROS,d,20140318,000000,27400,27400,25322,25322,201453,5342909436,153,26654,زاگرس,13921227,000000,26522,60772800000000,2400000000
ZAGROS,d,20140319,000000,26499,26499,25751,26382,63279,1648840435,96,26522,زاگرس,13921228,000000,26057,63316800000000,2400000000
ZAGROS,d,20140325,000000,26399,26500,26300,26390,12213,322794040,31,26057,زاگرس,13930105,000000,26430,63336000000000,2400000000
ZAGROS,d,20140326,000000,27395,27395,25200,25500,19470,496820565,31,26430,زاگرس,13930106,000000,25517,61200000000000,2400000000
ZAGROS,d,20140329,000000,26290,26300,25350,25500,24595,634863353,44,25517,زاگرس,13930109,000000,25813,61200000000000,2400000000
ZAGROS,d,20140330,000000,25110,26300,25110,26000,270396,7071992301,88,25813,زاگرس,13930110,000000,26154,62400000000000,2400000000
ZAGROS,d,20140331,000000,26000,26370,25751,26350,729589,19088118003,161,26154,زاگرس,13930111,000000,26163,63240000000000,2400000000
ZAGROS,d,20140405,000000,27400,27400,26717,26959,155052,4211595703,104,26163,زاگرس,13930116,000000,27162,64701600000000,2400000000
ZAGROS,d,20140406,000000,27350,27369,25805,25900,135737,3572416228,121,27162,زاگرس,13930117,000000,26319,62160000000000,2400000000
ZAGROS,d,20140407,000000,26290,26290,25450,25600,241258,6197361379,135,26319,زاگرس,13930118,000000,25688,61440000000000,2400000000
ZAGROS,d,20140408,000000,25500,26440,25101,25500,77576,2010463388,67,25688,زاگرس,13930119,000000,25916,61200000000000,2400000000
ZAGROS,d,20140409,000000,25360,25700,25001,25100,65838,1666358196,63,25916,زاگرس,13930120,000000,25310,60240000000000,2400000000
