<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<VAL>,<COUNT>,<PREVIOUS>,<COL1>,<COL2>,<TSEClose>,<MarketValue>,<ShareCount>
ZAGROS,d,20110803,000000,12500,12509,12500,12501,705759,8822794085,109,12501,زاگرس,13900512,000000,12501,30002400000000,2400000000
ZAGROS,d,20110806,000000,12500,12501,12300,12500,2412373,30148426180,357,12501,زاگرس,13900515,000000,12497,30000000000000,2400000000
ZAGROS,d,20110807,000000,12500,12501,12500,12500,1828441,22855512700,352,12497,زاگرس,13900516,000000,12500,30000000000000,2400000000
ZAGROS,d,20110808,000000,12500,12533,12500,12500,1295899,16198819300,227,12500,زاگرس,13900517,000000,12500,30000000000000,2400000000
ZAGROS,d,20110809,000000,12500,12500,12102,12490,4166476,52026784282,147,12500,زاگرس,13900518,000000,12487,29976000000000,2400000000
ZAGROS,d,20110810,000000,12489,12498,12300,12350,332161,4129187108,50,12487,زاگرس,13900519,000000,12431,29640000000000,2400000000
ZAGROS,d,20110813,000000,12444,12444,12010,12430,424856,5279443320,58,12431,زاگرس,13900522,000000,12426,29832000000000,2400000000
ZAGROS,d,20110814,000000,12020,12350,11805,12350,194327,2389545672,92,12426,زاگرس,13900523,000000,12297,29640000000000,2400000000
ZAGROS,d,20110815,000000,12300,12345,12300,12300,187795,2309904000,40,12297,زاگرس,13900524,000000,12300,29520000000000,2400000000
ZAGROS,d,20110816,000000,12300,12350,12299,12350,234990,2900898700,74,12300,زاگرس,13900525,000000,12345,29640000000000,2400000000
ZAGROS,d,20110817,000000,12350,12400,12350,12400,213720,2642989020,53,12345,زاگرس,13900526,000000,12367,29760000000000,2400000000
ZAGROS,d,20110820,000000,12300,12300,12300,12300,407317,5009999100,48,12367,زاگرس,13900529,000000,12300,29520000000000,2400000000
ZAGROS,d,20110821,000000,12300,12350,12300,12300,224587,2765021363,21,12300,زاگرس,13900530,000000,12312,29520000000000,2400000000
ZAGROS,d,20110823,000000,12350,12351,12350,12350,39485,487642339,23,12312,زاگرس,13900601,000000,12350,29640000000000,2400000000
ZAGROS,d,20110824,000000,12350,12436,12350,12350,154844,1912332000,40,12350,زاگرس,13900602,000000,12350,29640000000000,2400000000
ZAGROS,d,20110827,000000,12350,12350,12350,12350,187418,2314612300,36,12350,زاگرس,13900605,000000,12350,29640000000000,2400000000
ZAGROS,d,20110828,000000,12350,12350,12350,12350,300205,3707531750,47,12350,زاگرس,13900606,000000,12350,29640000000000,2400000000
ZAGROS,d,20110829,000000,12350,12351,12350,12350,143334,1770174980,30,12350,زاگرس,13900607,000000,12350,29640000000000,2400000000
ZAGROS,d,20110830,000000,12350,12400,12350,12350,36955,456796505,25,12350,زاگرس,13900608,000000,12361,29640000000000,2400000000
ZAGROS,d,20110903,000000,12350,12400,12350,12350,90524,1118704906,22,12361,زاگرس,13900612,000000,12358,29640000000000,2400000000
ZAGROS,d,20110904,000000,12350,12400,12350,12358,191000,2360570078,34,12358,زاگرس,13900613,000000,12359,29659200000000,2400000000
ZAGROS,d,20110905,000000,12359,12400,12359,12400,250431,3095854457,31,12359,زاگرس,13900614,000000,12362,29760000000000,2400000000
ZAGROS,d,20110906,000000,12362,12400,12362,12362,412514,5101990076,42,12362,زاگرس,13900615,000000,12368,29668800000000,2400000000
ZAGROS,d,20110907,000000,12368,12400,12368,12400,54090,669551820,29,12368,زاگرس,13900616,000000,12378,29760000000000,2400000000
ZAGROS,d,20110910,000000,12379,12439,12378,12378,306878,3798614888,38,12378,زاگرس,13900619,000000,12378,29707200000000,2400000000
ZAGROS,d,20110911,000000,12400,12500,12378,12378,112851,1402021479,30,12378,زاگرس,13900620,000000,12424,29707200000000,2400000000
ZAGROS,d,20110912,000000,12500,12500,12424,12424,49560,615866640,16,12424,زاگرس,13900621,000000,12427,29817600000000,2400000000
ZAGROS,d,20110913,000000,12427,12500,12427,12427,85280,1061420538,25,12427,زاگرس,13900622,000000,12446,29824800000000,2400000000
ZAGROS,d,20110914,000000,12022,12500,12022,12447,38162,475253818,23,12446,زاگرس,13900623,000000,12454,29872800000000,2400000000
ZAGROS,d,20110917,000000,12454,12600,12454,12600,132531,1657098652,37,12454,زاگرس,13900626,000000,12503,30240000000000,2400000000
ZAGROS,d,20110918,000000,12600,12984,12600,12655,235966,3010689081,90,12503,زاگرس,13900627,000000,12759,30372000000000,2400000000
ZAGROS,d,20110919,000000,12520,12740,12513,12605,55200,697614820,24,12759,زاگرس,13900628,000000,12638,30252000000000,2400000000
ZAGROS,d,20110920,000000,12600,12600,12600,12600,7380,92988000,7,12638,زاگرس,13900629,000000,12600,30240000000000,2400000000
ZAGROS,d,20110921,000000,12690,12700,12511,12515,72820,919498450,19,12600,زاگرس,13900630,000000,12627,30036000000000,2400000000
ZAGROS,d,20110925,000000,12550,12550,12500,12501,19966,249662166,11,12627,زاگرس,13900703,000000,12504,30002400000000,2400000000
ZAGROS,d,20110926,000000,12504,12504,12504,12504,454002,5676841008,32,12504,زاگرس,13900704,000000,12504,30009600000000,2400000000
ZAGROS,d,20110927,000000,12504,12595,12504,12504,14936,186929500,9,12504,زاگرس,13900705,000000,12515,30009600000000,2400000000
ZAGROS,d,20110928,000000,12517,12700,12516,12525,29078,366387232,23,12515,زاگرس,13900706,000000,12600,30060000000000,2400000000
ZAGROS,d,20111001,000000,12601,12700,12255,12700,28475,359050165,22,12600,زاگرس,13900709,000000,12609,30480000000000,2400000000
ZAGROS,d,20111002,000000,12620,12720,12609,12609,53150,675068174,32,12609,زاگرس,13900710,000000,12701,30261600000000,2400000000
ZAGROS,d,20111003,000000,12511,12511,12500,12506,109365,1367495000,9,12701,زاگرس,13900711,000000,12504,30014400000000,2400000000
ZAGROS,d,20111004,000000,12500,12501,12500,12500,71541,894264116,15,12504,زاگرس,13900712,000000,12500,30000000000000,2400000000
ZAGROS,d,20111005,000000,12500,12500,12500,12500,107874,1348425000,23,12500,زاگرس,13900713,000000,12500,30000000000000,2400000000
ZAGROS,d,20111008,000000,12500,12501,12500,12500,2034166,25427079500,107,12500,زاگرس,13900716,000000,12500,30000000000000,2400000000
ZAGROS,d,20111009,000000,12500,12500,12500,12500,181217,2265212500,27,12500,زاگرس,13900717,000000,12500,30000000000000,2400000000
ZAGROS,d,20111010,000000,12500,12501,12500,12500,35285,441064500,14,12500,زاگرس,13900718,000000,12500,30000000000000,2400000000
ZAGROS,d,20111011,000000,12507,12550,12501,12501,78455,982063688,21,12500,زاگرس,13900719,000000,12518,30002400000000,2400000000
ZAGROS,d,20111012,000000,12501,12600,12500,12600,92007,1150224580,16,12518,زاگرس,13900720,000000,12501,30240000000000,2400000000
ZAGROS,d,20111015,000000,12500,12501,12500,12501,83905,1048816580,15,12501,زاگرس,13900723,000000,12500,30002400000000,2400000000
ZAGROS,d,20111016,000000,12500,12500,12500,12500,291630,3645375000,51,12500,زاگرس,13900724,000000,12500,30000000000000,2400000000
ZAGROS,d,20111017,000000,12500,12501,12500,12500,121266,1515825100,15,12500,زاگرس,13900725,000000,12500,30000000000000,2400000000
ZAGROS,d,20111018,000000,12500,12500,12500,12500,42709,533862500,12,12500,زاگرس,13900726,000000,12500,30000000000000,2400000000
ZAGROS,d,20111019,000000,12500,12600,12500,12500,135649,1695729850,16,12500,زاگرس,13900727,000000,12501,30000000000000,2400000000
ZAGROS,d,20111022,000000,12501,12549,12500,12500,141995,1774966777,15,12501,زاگرس,13900730,000000,12500,30000000000000,2400000000
ZAGROS,d,20111023,000000,12500,12501,12500,12500,109288,1366111560,16,12500,زاگرس,13900801,000000,12500,30000000000000,2400000000
ZAGROS,d,20111024,000000,12500,12550,12500,12550,149215,1865212200,17,12500,زاگرس,13900802,000000,12500,30120000000000,2400000000
ZAGROS,d,20111025,000000,12500,12500,12500,12500,106747,1334337500,9,12500,زاگرس,13900803,000000,12500,30000000000000,2400000000
ZAGROS,d,20111026,000000,12500,12500,12500,12500,44648,558100000,8,12500,زاگرس,13900804,000000,12500,30000000000000,2400000000
ZAGROS,d,20111029,000000,12500,12500,12500,12500,244202,3052525000,14,12500,زاگرس,13900807,000000,12500,30000000000000,2400000000
ZAGROS,d,20111030,000000,12500,12501,12500,12500,139775,1747188000,13,12500,زاگرس,13900808,000000,12500,30000000000000,2400000000
ZAGROS,d,20111031,000000,12400,12400,12400,12400,236,2926400,1,12500,زاگرس,13900809,000000,12400,29760000000000,2400000000
ZAGROS,d,20111101,000000,12300,12300,11780,12002,3694,44130736,11,12400,زاگرس,13900810,000000,11947,28804800000000,2400000000
ZAGROS,d,20111102,000000,12000,12150,12000,12150,16618,201023513,27,11947,زاگرس,13900811,000000,12097,29160000000000,2400000000
ZAGROS,d,20111106,000000,12148,12148,11750,11750,4500,53287123,12,12097,زاگرس,13900815,000000,11842,28200000000000,2400000000
ZAGROS,d,20111108,000000,11250,11256,11250,11250,18665,210000006,17,11842,زاگرس,13900817,000000,11251,27000000000000,2400000000
ZAGROS,d,20111109,000000,10689,11350,10689,11350,51793,573498435,21,11251,زاگرس,13900818,000000,11073,27240000000000,2400000000
ZAGROS,d,20111112,000000,11626,11626,11626,11626,21479,249714854,8,11073,زاگرس,13900821,000000,11626,27902400000000,2400000000
ZAGROS,d,20111113,000000,11626,11626,11626,11626,6,69756,1,11626,زاگرس,13900822,000000,11626,27902400000000,2400000000
